episode,total_return,sharpe,max_drawdown,alpha,critic_loss,actor_loss,alpha_loss
1,-0.5476659687500001,0.6280366060924043,-0.5914134020312518,0.8843207083513106,410.1395335842811,-54.19052038945265,-6.374679271568638
2,-0.5508314999999999,0.6034332687694779,-0.5845326161354427,0.6602262464314851,1.417478547702649,-116.92374814494272,-21.13637874123999
3,-0.5361118125,0.6350901531028544,-0.5676979472295713,0.49228010835759606,1.6108798512825562,-158.1512833342976,-35.96223157078058
4,-0.573499125,0.5433761534384877,-0.6098978211643158,0.3670163820664169,1.6117324127422776,-185.84857514394074,-50.79413805407329
5,-0.54982328125,0.5927237991321579,-0.5877601624399981,0.27361773330417666,1.2996525822913196,-203.0006640924253,-65.62598533747267
6,-0.54884790625,0.6005716289107658,-0.5821573794697767,0.20398373691797014,1.7649171184348866,-212.30806103278715,-80.46083673588224
7,-0.58222834375,0.5119547405883574,-0.6119516439762364,0.15207068771276094,2.1453089191063675,-215.92849344910104,-95.29188589811082
8,-0.57424421875,0.5370679830236417,-0.59765112614514,0.11337119022781929,1.9145071476667481,-215.6776397050462,-110.12690752787293
9,-0.567217375,0.5618616089723522,-0.5947628395933496,0.08452099493197693,1.600414463765044,-212.67222391036972,-124.9582215680287
10,-0.5340946875,0.6474886532938802,-0.5630778149173731,0.06301293364203743,2.088862641443393,-207.41739203323505,-139.78657785791663
11,-0.54099034375,0.6147298832496848,-0.577793551275145,0.04697764121886415,1.6339274005273754,-200.91475539553275,-154.63068591732537
12,-0.5729049374999999,0.532065035793825,-0.6040623980880939,0.035022950285058224,1.3619198797306804,-193.60805108574,-169.45240046469013
13,-0.54753203125,0.5971160811550519,-0.5835359050861684,0.026110655214329297,1.4234343935203746,-185.84617179893985,-184.2813032109355
14,-0.60278875,0.44525883851163084,-0.6380661101239419,0.019466319051975493,1.1074226840310735,-177.8095220111851,-199.11295553174276
15,-0.57675321875,0.5135251167780792,-0.6095330687827402,0.014513014016655846,1.225174823184179,-169.47151216812836,-213.94767458860184
16,-0.540797375,0.6331137956430218,-0.5844333022771124,0.010820178120026976,1.0909345546191267,-161.4534961205581,-228.7578194513993
17,-0.58114546875,0.5147097194099546,-0.6006917630857521,0.008066988019301224,0.743403587524567,-153.5365733067763,-243.56575726050278
18,-0.54299546875,0.6225453411538833,-0.578929025111982,0.006014349230634575,0.719484313013483,-145.89713217995384,-258.374896149835
19,-0.5649169375,0.563712512314733,-0.5937699989863867,0.004484002757389422,0.70857360328912,-138.37586731954542,-273.1586652216069
20,-0.5922922500000001,0.4793565216460079,-0.625880160246824,0.003343051749417621,0.8592279910949935,-131.20918564606492,-287.92920445567864
21,-0.5508698750000001,0.5841056769917996,-0.5899564424217584,0.0024924152181127067,0.5858541350655707,-124.34496648708573,-302.63583832254693
22,-0.5811466875,0.5196105045532927,-0.610450094643147,0.0018582234249009814,0.6007758514219333,-117.69153579384606,-317.27409906747755
23,-0.55644625,0.5742255818494187,-0.5899815657475914,0.0013854744573255984,0.6270693839205176,-111.3778207484743,-331.7318344973446
24,-0.58144240625,0.5138760009330449,-0.6177709531012112,0.0010332418951126,0.5725767592670238,-105.48122984250062,-345.87631135186575
25,-0.5639025,0.555008698159638,-0.6004980989819652,0.0007707705037869072,0.5479355683746207,-99.87945815369837,-359.3658448200791
26,-0.52199,0.6389659595658489,-0.5575053020731398,0.0005752444041933792,0.34291640813705015,-94.41176130627953,-371.90123470567465
27,-0.5168208437499999,0.6432253922294137,-0.55494196077203,0.00042954065582612237,0.5180966680273946,-89.35955796519387,-383.8100891113281
28,-0.5295083125,0.5972914479823064,-0.570244144567798,0.0003208613809886882,0.37199702998195167,-84.69068654638023,-394.9749325059651
29,-0.521729625,0.5918470464814604,-0.5587716814582036,0.00023994963460416838,0.3092488441711427,-80.02491162527082,-402.21036458624275
30,-0.55350371875,0.4787766756552256,-0.58591352348582,0.00017982659170207157,0.3284050380626543,-75.51559018845212,-405.3336342800869
31,-0.47867609375,0.5910481924605889,-0.525804417562314,0.00013513360301678834,0.2754862933125693,-71.5685397606948,-403.43218682418683
32,-0.4562524375,0.5873902764028318,-0.4972703537483993,0.0001018218499034823,0.3364933223765157,-67.60075303994356,-399.2063629181563
33,-0.424063875,0.6085169369169059,-0.46599876172907057,7.677692500654412e-05,0.1847894105554175,-63.95342314255493,-396.0228791436574
34,-0.4152528125,0.5678773048845585,-0.4687217540319079,5.795514269533831e-05,0.25911001274333667,-60.48550565834552,-389.1136642939224
35,-0.41266274999999997,0.5174695651149833,-0.4753346597509629,4.379152029747856e-05,0.22440207567716644,-56.97288701385716,-381.4508977467242
36,-0.35243081249999997,0.5917756402190802,-0.42154784791347105,3.315649885793711e-05,0.19785310115676613,-53.902924187945636,-369.0581146957195
37,-0.33803025,0.5489103738890408,-0.40726986490793576,2.5172438738947668e-05,0.14173972977665886,-50.93018791502659,-351.85099666233083
38,-0.26471999999999996,0.5963563477588286,-0.3595267126413304,1.9228908164628002e-05,0.168927405824822,-47.9778672160849,-323.20326605417875
39,-0.25542656249999995,0.5577122451822515,-0.3521930543264386,1.4787790206263595e-05,0.13968206786258533,-45.46129767911792,-297.6193830823265
40,-0.23905431249999998,0.5720234912913569,-0.3408098810131769,1.1338189836186942e-05,0.1229129307051936,-42.97501166775229,-284.4656251745643
41,-0.19406718749999996,0.6209859922413304,-0.3513032944131755,8.685921751510713e-06,0.14692015798269667,-40.590986277158464,-260.6193127110981
42,-0.15641187499999998,0.6520774870933848,-0.3308436469581661,6.701277714109911e-06,0.10429542602265332,-38.29363295542451,-235.51518604874732
43,-0.182087,0.6010328625430961,-0.3471586049822932,5.187217345827143e-06,0.09331972381638494,-36.241073908430806,-211.03440065159862
