episode,total_return,sharpe,max_drawdown,alpha,critic_loss,actor_loss,alpha_loss
1,-0.56999703125,0.5580401506781173,-0.6065279682190331,0.9805441254005978,1108.731114120235,4.447514077859709,-1.120783418165254
2,-0.5748438437500001,0.5671293822244622,-0.6040435716253455,0.8858540483709497,2.0207323348558717,-32.59787701732414,-6.121987079575551
3,-0.5959872187499999,0.4923003905838071,-0.6309951691178782,0.7951873727789694,1.233423199181172,-32.24656883177402,-11.576552155312527
4,-0.59009796875,0.5058299401384053,-0.622193661386314,0.7134093791398622,0.8828462851790291,-32.47265416925604,-17.062909238306812
5,-0.58427903125,0.5175082642048683,-0.6182917041106046,0.6399498893608233,0.6374015066243777,-32.8028487574701,-22.555304105483962
6,-0.5282790625,0.6736724879618446,-0.571279392439163,0.5740333025983941,0.4864901168475477,-33.14618852360134,-28.051028355879975
7,-0.55558490625,0.5879765306689899,-0.5959666725264838,0.5149063888682287,0.3847979870039791,-33.432328509602534,-33.54308297855739
8,-0.5565392499999999,0.5874371477885522,-0.5957073208985798,0.4618703102249656,0.3111385214499239,-33.67742344794892,-39.03904643073389
9,-0.55057896875,0.5942703570123865,-0.5903978218038494,0.4142993380210008,0.2626234312010006,-33.859452794107156,-44.526265492112934
10,-0.52304859375,0.6473327047351675,-0.5601735713930471,0.3716312428599602,0.23047751737749003,-33.98235015557419,-50.0119483955547
11,-0.58971525,0.4872555702476831,-0.6224542363279415,0.3333604155570664,0.19695104893764998,-34.053992722446026,-55.50635954844209
12,-0.5261113125,0.6642289158327631,-0.5630337568216095,0.29903164664254855,0.16954214001061116,-34.06905447986201,-60.993084378578565
13,-0.5404970312499999,0.6094804605013725,-0.5800574814030571,0.2682391924134801,0.15210899516590037,-34.064784808835896,-66.48084937028428
14,-0.5571651875,0.5736130383842029,-0.5824573556763345,0.24061621596182453,0.12901294296103186,-33.986347015349686,-71.971575354166
15,-0.5701979687500001,0.5446969648693419,-0.5954183836946665,0.21583865811254932,0.11953988880969287,-33.891892582208555,-77.4624988294841
16,-0.58123871875,0.5307494265659752,-0.6197152940686833,0.1936123716484173,0.10095041051156918,-33.74942988784369,-82.94542291970491
17,-0.59071525,0.49740544867989805,-0.6207894974886244,0.1736746866320687,0.09339834810201311,-33.58909341969943,-88.43870658212103
18,-0.5623440937499999,0.5691253552795928,-0.6059286457494051,0.1557895757326432,0.08501029782476659,-33.39590397212308,-93.92824434430412
19,-0.5767416562500001,0.537742289063972,-0.6070589485303852,0.1397461930291767,0.06938135544403215,-33.17676506003515,-99.41865957258183
20,-0.5515549375,0.5943776332198201,-0.5908990268924953,0.12535020163372174,0.06368197136928648,-32.93490474338551,-104.90624399155956
21,-0.5919575625,0.48376503802666926,-0.6201498303041535,0.11243407900870395,0.06558695029318941,-32.66466338690503,-110.40637293534088
22,-0.5911219062499999,0.48660655993665713,-0.6216887516933675,0.10084899562859073,0.05283526026104426,-32.39013328980864,-115.88967590020309
23,-0.56219303125,0.5607354349916277,-0.5968079734601719,0.0904573720020829,0.046806065179217336,-32.084785344530054,-121.38598074830223
24,-0.55726240625,0.587030488747368,-0.5895233153993661,0.08113651845197024,0.045287570320602516,-31.796803261091565,-126.87980224017103
25,-0.50345096875,0.7062584543848499,-0.5358023700251893,0.0727762756707476,0.04139355637049407,-31.502200525067558,-132.36281810912462
26,-0.5591838124999999,0.5727500357308258,-0.5874746808698703,0.0652775400916573,0.04202628204079613,-31.141155053938494,-137.8652343438278
27,-0.5513769374999999,0.6021955436451926,-0.5859811825699947,0.05855183227252181,0.038596576944457804,-30.83009720043459,-143.3408583737491
28,-0.565743875,0.54096772818253,-0.6008527419012355,0.052518851628890445,0.03220969099699842,-30.48797599239174,-148.84706023764684
29,-0.5632749375,0.5616042379081585,-0.604144435953214,0.0471072273064439,0.03244398128853938,-30.13005022471723,-154.33947940939416
30,-0.5594086875,0.5834663200838871,-0.5810399775852282,0.04225316432906853,0.03034877148766044,-29.792197999963964,-159.821355677479
31,-0.6007918437499999,0.46144144488230027,-0.633608531653325,0.03789931073389088,0.030421282242759074,-29.43094906013029,-165.3209077798066
32,-0.57735296875,0.5218134498664295,-0.6141110338274486,0.03399425994631462,0.02832425372442944,-29.09168481875489,-170.8173301314918
33,-0.595082,0.48396113864727336,-0.6301467724283168,0.030491306331385387,0.026048874939136414,-28.746805559261585,-176.3109657669457
34,-0.52302096875,0.6559445407375588,-0.5540513248992852,0.027349392519131745,0.02393312853655423,-28.35759449881845,-181.81158769897834
35,-0.5610232187499999,0.5606611013796374,-0.6012133917104487,0.024531195063878374,0.028031731938583677,-28.01275221928878,-187.2981348865731
36,-0.58996134375,0.49518483115738526,-0.6247059622771943,0.022003424176004496,0.024126807065058473,-27.649066036641294,-192.8005290046045
37,-0.5761041250000001,0.5220405973840734,-0.6077186028396747,0.019736098253051157,0.021975892633523134,-27.29945899176281,-198.29512313827186
38,-0.58847434375,0.4890612967761495,-0.6218043094783144,0.01770243268227918,0.02240959412358374,-26.935174375072318,-203.77226692176328
39,-0.5773251875000001,0.5349757590378577,-0.6141474598692529,0.015877974024603753,0.018667937356757952,-26.583380300738106,-209.27569411748277
40,-0.54578309375,0.6119678311641568,-0.5757386070272806,0.0142415389361524,0.019133907662175664,-26.24263647311311,-214.74202919201173
41,-0.5689981562499999,0.543860606965862,-0.6014471170688863,0.012773760138754947,0.018444397568795925,-25.892859191037296,-220.25652895373148
42,-0.6038190625,0.4542908569540984,-0.6395034100411607,0.011457255499226262,0.01744027232867309,-25.53800430531643,-225.74908213474168
43,-0.5804963750000001,0.5249496158449165,-0.6151224052378348,0.010276433898552689,0.016514791168588328,-25.1858532626003,-231.23438539592678
44,-0.53839834375,0.6196666514420234,-0.5785271104676153,0.009217311475954882,0.01861400805238684,-24.843364715576172,-236.72829383483824
45,-0.5662949374999999,0.5559242581920226,-0.5943042490003815,0.008267345709823248,0.015507986728174267,-24.514927724773965,-242.23491067857128
46,-0.5882984062500001,0.5051207795915726,-0.627511002531725,0.007415286496479494,0.019109840146660714,-24.177545155884662,-247.72196128151634
47,-0.581696,0.5227335753156291,-0.6099787516464894,0.006651043221240329,0.01617080555844432,-23.851309987692595,-253.19859351371477
48,-0.567318625,0.5507244935216834,-0.6023949408767548,0.005965565375040026,0.0156667089466466,-23.52511850538244,-258.7084659969965
49,-0.5738131875,0.5305022398318611,-0.6122409594767837,0.00535073493340027,0.019065918920293405,-23.17820717341079,-264.19547010661387
50,-0.55542021875,0.5878808531338706,-0.5963211437882129,0.004799271026669989,0.015675239936344943,-22.87305187034412,-269.7000789778712
51,-0.57356640625,0.5392648312107282,-0.6077561057190589,0.004304642733414795,0.014508500499736452,-22.55275284842159,-275.19552811806733
52,-0.5934024375,0.48176857023927583,-0.6218408719157401,0.0038609924113551064,0.014950169643018095,-22.2346561069508,-280.6613108057289
53,-0.5795661249999999,0.51228845240338,-0.6130223056001531,0.0034630661152504896,0.016200580353781094,-21.934848197025225,-286.15305538002144
54,-0.572757125,0.5275898910424759,-0.6004824200281331,0.0031061513754667616,0.013900108893465659,-21.640715175313044,-291.6576973561491
55,-0.5952729375,0.4798983278823811,-0.6247804955243169,0.002786021399244179,0.014923474249364362,-21.336337125581423,-297.1424168712394
56,-0.5686855625,0.5466952118543728,-0.5953291445111548,0.002498885097488213,0.014317228723520963,-21.021471668434337,-302.63740350959006
57,-0.58950534375,0.4934932882250611,-0.6263380810027851,0.0022413419812643736,0.012530776013527922,-20.7302645448523,-308.1249186405731
58,-0.5613131874999999,0.5725519532175702,-0.5902612988808642,0.002010342064270782,0.012309538944176301,-20.440035446915125,-313.60478710762936
59,-0.5752485625,0.5317547473148266,-0.6149691825765049,0.0018031497491167838,0.015457754167732882,-20.141044338097732,-319.0899367366553
60,-0.578336125,0.5265778441796711,-0.6115857384384116,0.001617311341145796,0.01201793509682943,-19.860173682270304,-324.5411756007006
61,-0.5517006875,0.5910199242721753,-0.5935350739551617,0.0014506260146443049,0.011888128892966643,-19.5868319120787,-330.00872378792536
62,-0.5809766875,0.5171348863938563,-0.6202662753386615,0.0013011198349827872,0.012508428305962082,-19.30410702308912,-335.48246476793923
63,-0.5790111875,0.5262765706489255,-0.6118958514108894,0.0011670222571091126,0.011810724984043952,-19.039053534097643,-340.94075468879674
64,-0.6126681875,0.43849270125986667,-0.6422613922421943,0.001046745186130325,0.01284522993420655,-18.75309090814016,-346.38460617922664
65,-0.570404125,0.5435942940560589,-0.607592040975434,0.000938864260784943,0.012622909700075608,-18.494805822089937,-351.78988588233767
66,-0.5707559375,0.5353274125367526,-0.6095889556044568,0.0008421018947985126,0.012289301597392444,-18.231068879031064,-357.1919229602911
67,-0.58970928125,0.4962352473534916,-0.6229181164246038,0.0007553121597773421,0.01073652926622676,-17.986424137306408,-362.57699170370756
68,-0.57337453125,0.5338250479409846,-0.6058358706378902,0.0006774672561190049,0.00970193046914267,-17.721929273517674,-367.9342321877095
69,-0.5527039375,0.5925661444818313,-0.583015744183086,0.0006076455903710441,0.010983395273797214,-17.477412986560545,-373.1952647130263
70,-0.52503521875,0.6571760446956457,-0.5601032693424044,0.0005450199168618765,0.010290388819481891,-17.220674655045382,-378.41766254553636
71,-0.5936614687499999,0.47533708241323686,-0.6213893473039707,0.0004888590605048591,0.009986964725072099,-16.973872774102716,-383.4529464768438
72,-0.52531003125,0.6467155518177573,-0.5714610926986157,0.00043852355443435863,0.008895355384141412,-16.734039535561426,-388.34966660714855
73,-0.5491939375,0.595786919699579,-0.58444049761002,0.0003934382867751561,0.009220462028328158,-16.49150418114979,-393.1193267541716
74,-0.57664371875,0.508568805154573,-0.6101592769174081,0.0003530127228217711,0.007863436908455446,-16.256242752075195,-397.6450712459202
75,-0.5435575,0.594509408084154,-0.5810097548110066,0.0003167724465336308,0.007165025599206683,-16.03783371450952,-401.9994575103043
76,-0.56239703125,0.543865699872181,-0.6031709748676891,0.0002842575272241278,0.009525545153684107,-15.801854929471041,-406.24947050910924
77,-0.54921509375,0.5652435368660239,-0.5877279654506802,0.0002550800834442094,0.006192478087190367,-15.576562434343566,-410.3870310642137
78,-0.5593852500000001,0.5410756328145891,-0.593517234198421,0.00022889754004037794,0.006508554694879195,-15.366062940689103,-413.9831122767572
79,-0.5400191875,0.5782813218890693,-0.5753935724859955,0.00020540248648053276,0.006149211878706611,-15.131263037380574,-417.65566954257173
80,-0.5611613125,0.5183993214663144,-0.599687298106468,0.00018431907034237928,0.005818293908058235,-14.923978013573434,-420.947072201535
81,-0.56083465625,0.512766198006059,-0.602161299287588,0.00016539974868382242,0.007677303403696812,-14.706950926074455,-423.92609191208743
82,-0.5352495625,0.5617199239122812,-0.5687834413148656,0.0001484224730723255,0.005381839899003764,-14.496891642250006,-426.7363335177896
83,-0.53385690625,0.5569453602770462,-0.5866857911777162,0.0001331904224628788,0.005456961714864763,-14.284416159765225,-429.09596335047723
84,-0.48289321875,0.6471238205982379,-0.5331879129933758,0.00011953465985896473,0.003934848675360681,-14.102077601026588,-431.065954564906
85,-0.5173401875,0.5654077753959816,-0.5614396444435459,0.0001072987050453745,0.0043346773619231775,-13.885575366580328,-432.8696499163089
